page_id,Price Info?,Sold Unit,# Rotation,WF,$ / g Fiber,total_fiber_g,$ / lb,g Fiber / 100 Calories,Vol (fl oz),vol,Weight (oz),Price Ledger,$ / oz,fat_monounsat_g,Plant,Nutritional Sanity,serving unit,Amount Needed,weight_unit,Remove,fat_sat_g,density,Clear,fat_unsat_g,Quantity Unit,cholesterol_mg,Vol (gallon),Section,Cal. Difference,$ / g Protein,Add,$ / cup,serving_size_g,g Protein / 100 Calories,Vol (tsp),Complete,$ / g Carbs,serving_size_mL,density_unit,Weight (g),-1,Recipes Used In,ID,weight,price,# Recipes,% Difference,density_mass,Nuke,Chosen Label,total_carbs_g,$ / g,vol_unit,total_fat_g,$ / tsp,total_sugar_g,serving size,density_vol,total_servings,density (g/mL),Magnitude,Vegan,🧮 Ingredient Amounts,Cuisines,Label Log,total_protein_g,$ / 100 Calories,Paleo,Label,$ / tbsp,Avg. Weight / Unit (g),Last edited by,# Cuisines,Supplier,Amount Unit,Vegetarian,Gluten Free,Vol (tbsp),Vol (mL),$ / qty,Recipes,Step Value,qty,Weight (lbs),calories,sodium_mg,serving_size_qty,Sold Unit Override,Keto,$ / g Fat,+1,Last edited time,fat_polyunsat_g,Vol (cups),Ingredient
2340e167-2c82-804c-8aa7-ce17f114ebd0,,head,,OG ENDIVE CHICORY,,1.0,,,,,,,,0.0,Endive,,g,0,,,0.0,,,0.0,Unit,0.0,,Produce,,,,,,,,,,,,,,,,,2.49,,,,,,2.0,,,0.0,,0.0,85.0,,,,,Y,,,,0.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,1.0,1.0,,1.0,1.0,,,Y,,,,0.0,,Endives
2340e167-2c82-801b-ba9c-c843ab35804f,,head,,OG RADICCHIO,,0.0,,,,,,,,0.0,Radicchio,,unit,0,lbs,,0.0,,,0.0,Unit,0.0,,Produce,,,,,,,,,,,,,,,,0.7,3.23,,,,,,4.0,,,0.0,,0.0,1.0,,,,,Y,,,,1.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,1.0,1.0,,9.0,1.0,,,Y,,,,0.0,,Radicchio
2260e167-2c82-80c3-b571-c7be989b7372,,jar,,DELICIUS CLSSC PZZA FLLTS,,0.0,,,,,,,,1.0,,,g,0,oz,,0.0,,,0.0,Unit,1.0,,Deli,,,,,,,,,,,,,,,,2.8,4.99,,,,,,0.0,,,1.0,,0.0,15.0,,,,,N,,,,3.0,,Y,,,,,,Whole Foods,,N,Y,,,,,1.0,1.0,,2.0,9.0,,jar,Y,,,,0.0,,Anchovies
2230e167-2c82-8084-a8c4-c2d642d507aa,,can,,,,3.0,,,,,,,,2.0,,,cup,0,,,1.0,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,Y,,,,1.0,,N,,,,,,,,N,Y,,,,,,,,4.0,1.0,,,Y,,,,8.0,,Red Curry Can
2230e167-2c82-8086-a62a-d8ffe18ab728,,tub,,,,0.0,,,,,,,,1.0,,,oz,0,,,2.0,,,1.0,Unit,1.0,,Dairy,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,6.0,,,,,N,,,,6.0,,N,,,,,,,,Y,Y,,,,,1.0,,,1.0,9.0,,tub,N,,,,0.0,,Vanilla Yogurt
2210e167-2c82-804f-909a-cb0081938572,,package,,,,0.0,,,,,,,,3.0,,,skewer,0,,,2.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,2.0,,0.0,1.0,,,,,N,,,,1.0,,Y,,,,,,,,N,N,,,,,,,,1.0,6.0,,,Y,,,,3.0,,Skewers (small)
2200e167-2c82-8069-8f2d-e7fca8472cb5,,bottle,,,,0.0,,,,,,,,0.0,,,spray,0,,,0.0,,,0.0,Unit,0.0,,Cleaning Supplies,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,,,Y,Y,,,,,1.0,,,0.0,0.0,,,Y,,,,0.0,,Antibacterial Cleaning Spray
21e0e167-2c82-80dd-a110-e853a835195e,,pound,,YELLOW POTATO,,2.0,,,,,,,,0.0,Potatoes,,g,0,lbs,,0.0,,,0.0,Unit,0.0,,Produce,,,,,,,,,,,,,,,,0.44,0.62,,,,,,3.0,,,0.0,,0.0,148.0,,,,,Y,,,,3.0,,N,,,,,,,,Y,Y,,,,,1.0,1.0,,1.0,1.0,, ,N,,,,0.0,,Yellow Potato
21d0e167-2c82-8011-a7b8-e9ff5707f2bf,,bag,,,,0.0,,,,,,,,0.0,Wheat,,cup,0,lbs,,0.0,,,0.0,Unit,0.0,,Bakery,,,,,,,,,,,,,,,,2.0,2.99,,,,,,2.0,,,0.0,,0.0,0.25,,,,,Y,,,,3.0,,N,,,,,,,,Y,N,,,,,1.0,1.0,,1.0,0.0,,,N,,,,0.0,,Bread Flour
21d0e167-2c82-80e3-ada6-d39391baa82b,,pound,,,,0.0,,,,,,,,5.0,,,oz,0,,,3.0,,,5.0,lbs,9.0,,Meat,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,0.0,4.0,,,,,N,,,,2.0,,Y,,,,,,,,N,Y,,,,,1.0,,,3.0,6.0,,,Y,,,,2.0,,Pork Shoulder
21c0e167-2c82-802e-8078-ee084f221caf,,bottle,,LACST CHPOTLE PEPPERS,,1.0,,,,,,,,0.0,Capsicum,,g,0,oz,,0.0,,,0.0,Unit,0.0,,Canned Food,,,,,,,,,,,,,,,,7.0,2.99,,,,,,4.0,,,0.0,,2.0,30.0,,,,,Yes,,,,1.0,,No,,,,,,Whole Foods,,Yes,Yes,,,,,1.0,1.0,,20.0,240.0,,,No,,,,0.0,,Chipotle Peppers in Adobo
2170e167-2c82-8060-a63a-eaa4d2a24c65,,bag,,WHOLESOME ORANGIC,,0.0,,,,,,,,0.0,,,cup,0,lbs,,0.0,120.0,,0.0,Unit,0.0,,Bakery,,,,,,,,,,,g / cup,,,,,1.0,6.49,,,,,,30.0,,,0.0,,30.0,0.25,,,,,Yes,,,,0.0,,No,,,,,,West Loop Market,,Yes,Yes,,,,,,1.0,,120.0,0.0,,,No,,,,0.0,,Confectioner’s Sugar
2170e167-2c82-80b9-b6c6-efd4ccc8f312,,bag,,FS DOMINO SUGAR,,0.0,,,,,,,,0.0,,,tsp,0,lbs,,0.0,4.0,,0.0,Unit,0.0,,Bakery,,,,,,,,,,,g / tsp,,,,,4.0,7.49,,,,,,8.0,,,0.0,,8.0,2.0,,,,,Yes,,,,0.0,,No,,,,,,West Loop Market,,Yes,Yes,,,,,1.0,1.0,,30.0,0.0,,,No,,,,0.0,,Granulated Sugar
2150e167-2c82-80d5-82ec-f5396577cf70,,package,,WFM OG SOPPRESSATA,,0.0,,,,,,,,4.0,,,oz,0,,,6.0,,,5.0,,3.0,,Deli,,,,,,,,,,,,,,,,,5.99,,,,,,1.0,,,1.0,,0.0,1.0,,,,,N,,,,6.0,,N,,,,,,,,N,Y,,,,,,1.0,,1.0,5.0,,package,Y,,,,0.0,,Soppressata
2150e167-2c82-8020-9c62-ca5472329bca,,block,,CAMBROS TALEGGIO,,0.0,,,,,,,,3.0,,,oz,0,lbs,,5.0,,,2.0,,2.0,,Deli,,,,,,,,,,,,,,,,0.53,7.94,,,,,,0.0,,,9.0,,0.0,1.0,,,,,N,,,,6.0,,N,,,,,,,,Y,Y,,,,,,1.0,,9.0,1.0,,block,Y,,,,0.0,,Taleggio
2150e167-2c82-8074-8fc2-f4ca2a984f98,,block,,,,0.0,,,,,,,,3.0,,,oz,0,lbs,,5.0,,,4.0,,2.0,,Deli,,,,,,,,,,,,,,,,0.42,12.6,,,,,,0.0,,,9.0,,0.0,1.0,,,,,N,,,,7.0,,N,,,,,,,,Y,Y,,,,,,1.0,,1.0,1.0,,block,Y,,,,0.0,,Sottocenere Cheese
2150e167-2c82-80e4-ac20-f35a2960db32,,jar,,365WFM XTRA FIN CORNICHON,,0.0,,,,,,,,0.0,Cucumber,,oz,0,,,0.0,,,0.0,,0.0,,Pantry,,,,,,,,,,,,,,,,,3.29,,,,,,1.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,Y,,,,,,,,Y,Y,,,,,1.0,,,6.0,3.0,,jar,Y,,,,0.0,,Cornichon
2130e167-2c82-8033-8861-da4be3e04b6d,,box,,,,0.0,,,,,,,,1.0,,,oz,0,,,3.0,,,0.0,,2.0,,Dairy,,,,,,,,,,,,,,,,,,,,,,,0.0,,,6.0,,0.0,1.0,,,,,N,,,,6.0,,N,,,,,,,,Y,Y,,,,,1.0,,,8.0,1.0,,box,Y,,,,0.0,,Mozzarella Cheese (Balls)
2120e167-2c82-80fc-94bf-fca5da6c3b16,,bottle,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,0.0,,Alcohol,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,5.0,1.5,,,,,Y,,,,0.0,,N,,,,,,Whole Foods,,Y,Y,,,,,1.0,,,1.0,0.0,,,N,,,,0.0,,Cointreau
2120e167-2c82-80c2-b9bd-d9120433c401,,bottle,,Vital Proteins Beef Gelatin Powder,,0.0,,,,,,,,0.0,,,tbsp,0,g,,0.0,10.0,,0.0,Unit,0.0,,Bakery,,,,,,,,,,,g / tbsp,,,,,465.0,34.99,,,,,,0.0,,,0.0,,0.0,2.0,,,,,No,,,,17.0,,Yes,,,,,,,,No,Yes,,,,,,1.0,,68.0,60.0,,box,Yes,,,,0.0,,Gelatin Powder (Beef)
2120e167-2c82-8076-b02b-d015b6b31ea8,,package,,,,1.0,,,,,,,,2.0,Wheat,,g,0,,,1.0,,,1.0,,0.0,,Bakery,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,0.0,30.0,,,,,N,,,,3.0,,N,,,,,,,,Y,N,,,,,,,,1.0,1.0,,package,N,,,,1.0,,Grissini
2120e167-2c82-80d2-a4d1-ce32ad45017a,,chunk,,,,0.0,,,,,,,,2.0,,,oz,0,,,4.0,,,3.0,,2.0,,Dairy,,,,,,,,,,,,,,,,,,,,,,,0.0,,,9.0,,0.0,1.0,,,,,N,,,,6.0,,N,,,,,,,,Y,Y,,,,,1.0,,,9.0,2.0,,unit,Y,,,,0.0,,Taleggio
2120e167-2c82-80e0-9a45-ec0048b2b31a,,package,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,3.0,,Deli,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,0.0,1.0,,,,,N,,,,1.0,,Y,,,,,,,,N,Y,,,,,,,,3.0,4.0,,package,Y,,,,0.0,,Bresaola
2120e167-2c82-80ed-9494-c27e6ec9ce3b,,package,,,,0.0,,,,,,,,6.0,,,oz,0,,,3.0,,,5.0,,8.0,,Deli,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.0,2.0,,,,,N,,,,1.0,,N,,,,,,,,N,Y,,,,,,,,2.0,9.0,,package,Y,,,,0.0,,Finocchiona
2120e167-2c82-80bd-8368-db84be50483e,,package,,,,0.0,,,,,,,,5.0,,,oz,0,,,3.0,,,5.0,,1.0,,Deli,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,0.0,2.0,,,,,N,,,,2.0,,N,,,,,,,,N,Y,,,,,,,,1.0,1.0,,package,Y,,,,0.0,,Capocollo
2120e167-2c82-806f-bed7-fd1bbce4ddde,,bunch,,,,0.0,,,,,,,,0.0,Parsley,,cup,0,,,0.0,,,0.0,,0.0,,Fresh Herbs,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.25,,,,,Y,,,,0.0,,Y,,,,,,,,Y,Y,,,,,,,,5.0,4.0,,,Y,,,,0.0,,Italian Parsley
2120e167-2c82-8034-813e-f99187e3ef35,,package,,365WFM HOT ITLN PORK SAUSAGE,,0.0,,,,,,,,7.0,,,oz,0,lbs,,7.0,,,8.0,Unit,8.0,,Meat,,,,,,,,,,,,,,,,1.0,5.99,,,,,,0.0,,,2.0,,0.0,4.0,,,,,N,,,,2.0,,Y,,,,,,Whole Foods,,N,Y,,,,,1.0,1.0,,3.0,1.0,,,Y,,,,2.0,,Ground Pork
2120e167-2c82-80af-a321-dc3547068845,,link,,HOT ITALIAN PRK SAUSAGE,,0.0,,,,,,,,7.0,,,link,0,g,,8.0,,,6.0,Unit,3.0,,Meat,,,,,,,,,,,,,,,,125.0,1.95,,,,,,1.0,,,1.0,,0.0,1.0,,,,,N,,,,1.0,,Y,,,,,,,,N,Y,,,,,1.0,1.0,,2.0,6.0,,,Y,,,,1.0,,Italian Sausage (Links)
2120e167-2c82-802d-91f7-d9ce8dec8981,,can,,CENTO OG ITL SAN MARZ,,2.0,,,,,,,,0.0,Tomatoes,,cup,0,oz,,0.0,1.1,,0.0,Unit,0.0,,Canned Food,,,,,,,,,,,g / mL,,,,,28.0,7.49,,,,,,4.0,,,0.0,,3.0,0.5,,,,,Y,,,,1.0,,Y,,,,,,,,Y,Y,,,,,1.0,1.0,,4.0,1.0,,,Y,,,,0.0,,Whole Peeled Tomatoes (28 oz)
2120e167-2c82-8004-b0c9-ecf26960d7a4,,pound,,,,0.0,,,,,,,,8.0,,,oz,0,,,1.0,,,6.0,,1.0,,Meat,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,0.0,4.0,,,,,N,,,,4.0,,Y,,,,,,,,N,N,,,,,,,,3.0,8.0,,pound,Y,,,,2.0,,Pork Ribs
1f60e167-2c82-80a3-8727-f07b6135e369,,ounce,,,,0.0,,,,,,,,2.0,,,oz,0,,,6.0,,,3.0,,2.0,,Dairy,,,,,,,,,,,,,,,,,,,,,,,0.0,,,9.0,,0.0,1.0,,,,,N,,,,7.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,1.0,,,1.0,1.0,,,Y,,,,0.0,,Manchego
1dd0e167-2c82-8083-9b22-f1c9dc5f08d1,,cup,,,,2.0,,,,,,,,0.0,Capsicum,,cup,0,,,0.0,,,0.0,,0.0,,Produce,,,,,,,,,,,,,,,,,,,,,,,6.0,,,0.0,,2.0,1.0,,,,,Y,,,,1.0,,Y,,,,,,,,Y,Y,,,,,,,,2.0,3.0,,,Y,,,,0.0,,Green Bell Pepper
1db0e167-2c82-80f1-84b7-d12f8bb1044b,,bottle,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,0.0,,Cleaning Supplies,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,Whole Foods,,Y,Y,,,,,1.0,,,0.0,0.0,,,Y,,,,0.0,,Rinse Aid
1da0e167-2c82-808a-83fb-dc85b229bf21,,container,,,,0.0,,,,,,,,0.0,,,tbsp,0,,,1.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,0.0,2.0,,,,,N,,,,0.0,,N,,,,,,,,Y,Y,,,,,1.0,,,3.0,1.0,,,N,,,,0.0,,Half-and-Half
1da0e167-2c82-803d-88dc-e35d55bbb6fe,,bottle,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,0.0,2.0,,,,,Y,,,,0.0,,N,,,,,,,,Y,Y,,,,,,,,6.0,1.0,,,Y,,,,0.0,,Sherry Wine
1da0e167-2c82-803a-9c1c-deacf1865ca6,,bottle,,,,0.0,,,,,,,,0.0,,,tsp,0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,Y,,,,,,,,Y,Y,,,,,,,,0.0,3.0,,,Y,,,,0.0,,Tabasco Sauce
1da0e167-2c82-800a-b5a5-e0e3b076879c,,can,,,,0.0,,,,,,,,0.0,,,cup,0,,,0.0,,,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,0.0,0.5,,,,,N,,,,1.0,,Y,,,,,,,,N,Y,,,,,1.0,,,9.0,5.0,,,Y,,,,0.0,,Canned Clams
1d50e167-2c82-80bc-a9b8-d9a3919486bd,,can,,,,1.0,,,,,,,,0.0,,,cup,0,,,0.0,,,0.0,,0.0,,Canned Food,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,,3.0,0.5,,,,,Y,,,,1.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,1.0,,,4.0,1.0,,can,Y,,,,0.0,,Crushed Tomatoes (800g = 28 oz)
1be0e167-2c82-80a7-b6a6-cfadcd6b8c62,,package,,,,0.0,,,,,,,,5.0,,,oz,0,,,8.0,,,7.0,,1.0,,Deli,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,0.0,4.0,,,,,N,,,,2.0,,Y,,,,,,,,N,Y,,,,,,,,3.0,9.0,,,Y,,,,0.0,,Lamb Chops
1a10e167-2c82-80c1-a1b1-e33699b739bd,,bottle,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,0.0,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,CVS,,N,Y,,,,,1.0,,,2.0,0.0,,bottle,Y,,,,1.0,,Lubricant Fluid
19d0e167-2c82-801b-a26a-f2c29184f785,,bottle,,,,0.0,,,,,,,,0.0,Capsicum,,tsp,0,,,0.0,,,0.0,,0.0,,Spices,,,,,,,,,,,,,,,,,7.49,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,,1.0,,7.0,1.0,,,Y,,,,0.0,,Harissa Spice Mix
19d0e167-2c82-8063-98f0-fc035e0082a6,,bag,,,,2.0,,,,,,,,0.0,Oats,,cup,0,oz,,0.0,156.0,,1.0,,0.0,,Pantry,,,,,,,,,,,g / cup,,,,,24.0,5.49,,,,,,1.0,,,2.0,,0.0,0.25,,,,,Y,,,,5.0,,N,,,,,,Whole Foods,,Y,Y,,,,,,1.0,,1.0,0.0,,,N,,,,0.0,,Steel Cut Oats
1980e167-2c82-80e3-881d-c69e8c747485,,container,,,,0.0,,,,,,,,0.0,,,tsp,0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,,,,2.0,2.0,,,Y,,,,0.0,,Dried Coriander
18d0e167-2c82-807f-8be1-ec4da73a790d,,package,,CRMINL SLCD PEPPERONI,,0.0,,,,,,,,4.0,,,oz,0,oz,,3.5,,,6.5,,25.0,,Deli,,,,,,,,,,,,,,,,2.7,6.99,,,,,,1.0,,,10.0,,0.0,1.0,,,,,N,,,,6.0,,N,,,,,,Whole Foods,,N,Y,,,,,,1.0,,120.0,490.0,,,Y,,,,0.0,,Pepperoni
18c0e167-2c82-80a4-af3d-ef0bca0b7c9e,,bottle,,365WFM OG HEAVY CREAM,,0.0,,,,2.0,,,,0.5,,,tbsp,1,,,3.5,,,0.44,Unit,20.0,,Dairy,,,,,,,,,,,,,,,,,4.19,,,,,,0.5,,cups,6.0,,0.0,1.0,,,,,No,,,,0.0,,No,,,,,,Whole Foods,,Yes,Yes,,,,,1.0,1.0,,50.0,5.0,,,Yes,,,,0.12,,Heavy Cream
18a0e167-2c82-80cc-a273-df5c22295493,,tube,,,,0.0,,,,,,,,0.0,,,unit,0,,,0.0,,,0.0,,0.0,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,CVS,,Y,Y,,,,,1.0,,,0.0,5.0,,,Y,,,,0.0,,Travel Size Toothpaste
1890e167-2c82-8072-85d3-d5df114cc6ea,,pack,,,,0.0,,,,,,,,0.0,,,unit,0,,,0.0,,,0.0,,0.0,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,CVS,,Y,Y,,,,,1.0,,,0.0,0.0,,,Y,,,,0.0,,Floss Picks
1820e167-2c82-80e7-9e6a-f6d4ed38f8dc,,bottle,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,0.0,,Bathroom,,,,,,,,,,,,,,,,,9.99,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,Amazon,,Y,Y,,,,,1.0,,,0.0,0.0,,,N,,,,0.0,,Conditioner
1820e167-2c82-8033-a321-cbed345cac20,,bottle,,,,0.0,,,,,,,,0.0,,,oz,0,,,0.0,,,0.0,,0.0,,Bathroom,,,,,,,,,,,,,,,,,9.99,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,Amazon,,Y,Y,,,,,1.0,,,0.0,0.0,,,Y,,,,0.0,,Shampoo
1800e167-2c82-8039-9fa5-ddb891dc74bc,,box,,365WFM DBL ZIPPER SANDWCH,,0.0,,,,,,,,0.0,,,unit,0,,,0.0,,,0.0,,0.0,,Household,,,,,,,,,,,,,,,,,3.19,,,,,,0.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,N,,,,,,Whole Foods,,Y,Y,,,,,1.0,1.0,,0.0,0.0,,,N,,,,0.0,,Sandwich Bags
1800e167-2c82-805a-a97c-c6740a35ed98,,cup,,,,1.0,,,,,,,,0.0,,,cup,0,,,0.0,,,0.0,,0.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,1.0,0.5,,,,,Y,,,,0.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,,,,5.0,1.0,,,N,,,,0.0,,Apple Sauce
1800e167-2c82-80fd-8f06-e088e3047659,,container,,,,0.0,,,,,,,,0.0,,,tsp,0,,,0.0,,,0.0,,0.0,,Pantry,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.25,,,,,Y,,,,0.0,,N,,,,,,Whole Foods,,Y,Y,,,,,,,,0.0,3.0,,,Y,,,,0.0,,Baking Powder
1790e167-2c82-80ba-a69b-d574c2348cf9,,jar,,SMPLO OG FIVE SPICE,,0.0,,,,,,,,0.0,,,tsp,0,g,,0.0,,,0.0,,0.0,,Spices,,,,,,,,,,,,,,,,57.0,7.99,,,,,,1.0,,,0.0,,0.0,1.0,,,,,Y,,,,0.0,,Y,,,,,,Whole Foods,,Y,Y,,,,,1.0,,,7.0,1.0,,jar,Y,,,,0.0,,Five Spice
